gudClssCd,routeCd,routeNm,rprsTelNo,svarAddr,svarCd,svarNm,sliced_rest,wifi,satisfaction,electric_car,nursing_room,pharmacy,Braile_block,pet,latitude,longitude,hdqrCd
1,351,통영대전선,0417512892,충남 금산군 군북면 외부리 718,154,금산인삼랜드(통영)휴게소,금산인삼랜드(통영),True,,True,True,False,False,False,36.152874,127.495954,800000
0,351,통영대전선,0633534200,전라북도 무주군 안성면 공진리 471,157,덕유산(대전)휴게소,덕유산(대전),True,,True,True,False,False,False,35.816481,127.646149,800000
1,351,통영대전선,0633535100,전라북도 장수군 계북면 통영대전고속도로 147,158,덕유산(통영)휴게소,덕유산(통영),True,,True,True,False,True,False,35.813428,127.643173,800000
0,351,통영대전선,0559735970,경남 산청군 단성면 방목리 산71-7,165,산청(대전)휴게소,산청(대전),True,,True,True,False,False,False,35.333522,127.938998,700000
1,351,통영대전선,0559739036,경남 산청군 단성면 방목리 산68-7,166,산청(통영)휴게소,산청(통영),True,2.0,True,True,False,True,False,35.333504,127.937049,700000
0,351,통영대전선,00000000000,경기 광주시 중부면 상번천리 803-2 상번천졸음쉼터,486,상번천(통영)졸음쉼터,상번천(통영)졸음쉼터,False,,False,False,False,False,False,,,200000
0,351,통영대전선,0559638001,경남 함양군 지곡면 보산리 278-6,551,함양(대전)휴게소,함양(대전),True,,True,True,False,False,False,35.551611,127.7604201,700000
1,351,통영대전선,,경남 함양군 지곡면 보산리 산40-1,552,함양(통영)휴게소,함양(통영),True,,True,True,False,True,False,35.551322,127.758563,700000
0,350,"통영대전선,중부선",0559638001,경남 함양군 지곡면 보산리 278-6,161,함양(대전)휴게소,함양(대전),True,,True,True,False,False,False,35.551611,127.7604201,700000
1,350,"통영대전선,중부선",0559639546,경남 함양군 지곡면 보산리산40-1,162,함양(통영)휴게소,함양(통영),True,,True,True,False,True,False,35.551322,127.758563,700000
0,1530,평택시흥선,00000000000,경기 화성시 송산면 고정리 349-26,458,송산포도휴게소,송산포도,False,,False,False,False,False,False,,,990000
1,400,평택제천선,0438810001,충북 음성군 금왕읍 용계리 평택제천고속도로 70,414,금왕(제천)휴게소,금왕(제천),False,,True,True,False,False,True,36.9694501,127.590845,900000
0,400,평택제천선,0438777000,충북 음성군 금왕읍 용계리,413,금왕(평택)휴게소,금왕(평택),False,,True,True,False,True,False,36.970655,127.589499,900000
1,400,평택제천선,0316744406,경기 안성시 서운면 신능리 51-11 외 29필지,333,안성맞춤(제천)휴게소,안성맞춤(제천),False,,True,True,False,False,False,36.968057,127.274261,900000
0,400,평택제천선,0316733822,경기 안성시 서운면 신능리 51-16 외 23필지,331,안성맞춤(평택)휴게소,안성맞춤(평택),False,,True,True,False,True,False,36.969915,127.274619,900000
0,400,평택제천선,00000000000,충청북도 충주시 중앙탑면 하구암리 352-3 중앙탑졸음쉼터,547,중앙탑(평택)졸음쉼터,중앙탑(평택)졸음쉼터,False,,False,False,False,False,False,,,900000
1,400,평택제천선,0438442991,충북 충주시 산척면 평택제천고속도로 106,419,천등산(제천)휴게소,천등산(제천),False,,True,True,False,True,False,37.061597,127.939378,900000
0,400,평택제천선,043-844-2930,충북 충주시 산척면 평택제천고속도로 109,420,천등산(평택)휴게소,천등산(평택),False,,True,True,False,True,False,37.076872,127.989171,900000
0,400,평택제천선,0316834800,경기 평택시 청북읍 평택제천고속도로 6(평택복합휴게소),572,평택휴게소,평택,False,,True,True,True,False,False,37.045585,126.943774,200000
1,170,평택파주선,00000000000,경기 오산시 지곶동 60-10,457,오산(동탄)휴게소,오산(동탄),False,,False,False,False,False,False,,,990000
0,170,평택파주선,00000000000,경기 오산시 지곶동 56-8,456,오산(봉담)휴게소,오산(봉담),False,,False,False,False,False,False,,,990000
